name,state,area_km2,pop.size
Berlin,Land Berlin,891.85,3415100
Bremen,Freie Hansestadt Bremen,325.42,546450
Dresden,Freistaat Sachsen,328.31,525100
D�sseldorf,Land Nordrhein-Westfalen,217.41,593682
Erfurt,Freistaat Th�ringen,269.17,203480
Hamburg,Freie und Hansestadt Hamburg,755.26,1751780
Hannover,Land Niedersachsen,204.14,514130
Kiel,Land Schleswig-Holstein,118.6,239860
Magdeburg,Land Sachsen-Anhalt,200.97,229924
Mainz,Land Rheinland-Pfalz,97.76,202750
M�nchen,Freistaat Bayern,310.71,1388300
Potsdam,Land Brandenburg,187.27,159450
Saarbr�cken,Saarland,167.07,176990
Schwerin,Land Mecklenburg-Vorpommern,130.46,91260
Stuttgart,Land Baden-W�rttemberg,207.36,597939
Wiesbaden,Land Hessen,203.9,272630
